,geo,text,user,location,Subject,state
3,," After the confrontation that cost Walter Wallace Jr. his life set off protests that devolved into rioting, looting and led to…",wheresestela1,New Jersey,Donald Trump,New Jersey
6,," ""COVID-19 is still raging. Trump is still lying."" ",TheFemaleYungin,"The Wrong Address, Texas ",Donald Trump,Texas
11,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",KathrynTomashu1,"Northborough, MA",Donald Trump,Massachusetts
15,,Let’s not forget who created these problems. Tell Donald Trump his scheme to undermine your right to vote safely in… ,ajserino,"New Jersey, USA",Donald Trump,New Jersey
16,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,SpeakBravely,"Twin Cities, Minnesota",Donald Trump,Minnesota
18,,'A vote for Donald Trump is a vote against the very ideals upon which our democracy was founded': Popovich endorses… ,TMScarletFire,"Salem, MA",Donald Trump,Massachusetts
25,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,mwamsley5,Ohio,Donald Trump,Ohio
29,," The same people who are outraged at AOC for slipping into a borrowed $14,000 outfit for a Vanity Fair photo shoot are…",SpeakBravely,"Twin Cities, Minnesota",Donald Trump,Minnesota
30,, Donald Trump is on track to become the worst jobs president in modern American history. ,XchargerFan619,"San Diego, CA",Donald Trump,California
38,,"It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached f… ",eachlifeinplace,Iowa ,Donald Trump,Iowa
39,, Donald Trump is a dipshit. The presidency is no place for a dipshit.,oldsmartian,"Clearwater, FL",Donald Trump,Florida
44,," ""COVID-19 is still raging. Trump is still lying."" ",ChristopherOrp1,"Queens, NY",Donald Trump,New York
49,," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…",bnordsr,"Geneva, IL, New Berlin, WI",Donald Trump,Wisconsin
52,,Download the official Donald Trump for President mobile app to get involved and share it with your friends! Togethe… ,BlancheBullshit,"Los Angeles, CA",Donald Trump,California
58,," Abandoned by Donald Trump, lemming-like cultists wander to their doom upon the frozen wastelands of Omaha. …",JoshPainter2154,"Brazos Valley, Texas",Donald Trump,Texas
63,, Donald Trump is a dipshit. The presidency is no place for a dipshit.,Fot_roca,"Baltimore, MD",Donald Trump,Maryland
66,, ‘Trump rally sounds like Hitler in Berlin! Fuck Donald Trump’✌🏻,FentonHolland,"Jacksonville,Florida",Donald Trump,Florida
75,," Donald Trump taking credit for President Obama’s economy is like a guy inheriting a fortune from his dad, then bragging a…",jemaan44041,"Shawnee, KS",Donald Trump,Kansas
77,, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…,7SinsOfTrump,"New York, USA",Donald Trump,New York
92,," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",treesatreesa,"Washington, USA",Donald Trump,Washington
93,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",GuaglioneTina,"Simi Valley, CA",Donald Trump,California
109,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",oothoon,"Michigan, USA",Donald Trump,Michigan
110,," No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC…",Francesnamorada,"Sandy Springs, GA",Donald Trump,Georgia
116,," BREAKING:  Donald Trump just called the process of counting all the votes, ""stealing an election.""How can anyone suppo…",Raphium,New Jersey,Donald Trump,New Jersey
120,," Donald Trump will go down as the most beloved President ever.God bless you, best President Trump! We all love and supp…",CommonSenseMich,"Michigan, USA",Donald Trump,Michigan
121,, David Letterman calling Donald Trump a straight-up racist. In 2012... ,josiemae51,"Danbury, CT",Donald Trump,Connecticut
127,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",cynjblair,"Irondequoit, NY",Donald Trump,New York
128,, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…,Dealfatigue,"Los Angeles, California",Donald Trump,California
129,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",TarotPriestess1,"Maine, USA",Donald Trump,Maine
135,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",thomasmuff,"Pine Hill, NJ",Donald Trump,New Jersey
138,, It’s 2:30 in the morning and Donald Trump is completely melting down right now ,oldsmartian,"Clearwater, FL",Donald Trump,Florida
139,," PROTESTS PLANNED TO OPPOSE A STOLEN ELECTIONActivist groups plan to hit the streets next week, if President Donald Tru…",hezhitters,"Michigan, USA",Donald Trump,Michigan
141,, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…,Karlita59,"California, USA",Donald Trump,California
149,, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…,walkrunfly1,"Texas, USA",Donald Trump,Texas
155,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,NastasiaTaz,"New Zealand and Boston, MA",Donald Trump,Massachusetts
157,," Donald Trump, who has financial interests in Turkey, won’t stand up to Erdogan. Ever.He even interfered in a DOJ inves…",DavidPercelay,"Malibu, CA",Donald Trump,California
158,,    Americans understand the dire prospects of #ClimateChange. They will not accept…,saramelson,"Los Angeles, CA",Donald Trump,California
160,," ""COVID-19 is still raging. Trump is still lying."" ",BGMfoil,"Cleveland, Ohio, United States",Donald Trump,Ohio
162,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,Jeffrey52095461,"Pennsylvania, USA",Donald Trump,Pennsylvania
166,, The president's son delivered a whopper during a Fox News interview. ,Mohamme03832262,"Hamburg, NY",Donald Trump,New York
167,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,RudyPHS16,"Saco, Maine",Donald Trump,Maine
172,, There’s a reason Donald Trump Jr. never pushes back on his cocaine usage,realdonaIdump,"Washington, DC",Donald Trump,Washington
192,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,frogetteca,"Nathan S., California",Donald Trump,California
201,," MAJOR BREAKING NEWS (UPDATE): As Donald Trump Falsely Declares That America ""Has Turned the Corner"" on COVID-19, Back in…",supapally,"Maine, USA",Donald Trump,Maine
203,, So-called “Liberal” media has spent the last 3.5 years insisting to the Black Community that Donald J. Trump is a “racist…,tpsummers,"Kennesaw, GA",Donald Trump,Georgia
212,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",LinneyAnnette,"Texas, USA",Donald Trump,Texas
213,,  I don’t want someone in the WH who wants to suppress the votes of our military. That’s why I’m votin…,jamieob256,"New York, NY",Donald Trump,New York
